,Date,h_team,a_team,Home Score,Away Score,play_off,home_odds,away_odds,season,margin,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,win_loc
0,2017-09-30,Adelaide,Richmond,60,108,1,1.64,2.26,2017,-48,64.0,32.0,76.0,36.0,36.0,-10.0,-38.0,0
1,2017-09-23,Richmond,GWS Giants,103,67,1,1.54,2.5,2017,36,32.0,64.0,19.0,-3.0,-88.0,9.0,27.0,1
2,2017-09-22,Adelaide,Geelong,136,75,1,1.43,2.85,2017,61,64.0,68.0,21.0,-22.0,-30.0,-26.0,-39.0,1
3,2017-09-16,GWS Giants,West Coast,125,58,1,1.42,2.88,2017,67,64.0,64.0,21.0,8.0,-1.0,-87.0,-111.0,1
4,2017-09-15,Geelong,Sydney,98,39,1,3.1,1.37,2017,59,68.0,68.0,-46.0,-37.0,-38.0,32.0,-43.0,1
5,2017-09-09,Port Adelaide,West Coast,76,78,1,1.47,2.68,2017,-2,40.0,64.0,32.0,-10.0,-8.0,-10.0,14.0,0
6,2017-09-09,Sydney,Essendon,121,56,1,1.16,5.24,2017,65,68.0,12.0,1.0,81.0,12.0,22.0,50.0,1
7,2017-09-08,Geelong,Richmond,40,91,1,1.79,2.01,2017,-51,68.0,32.0,14.0,4.0,9.0,5.0,44.0,0
8,2017-09-07,Adelaide,GWS Giants,84,48,1,1.54,2.48,2017,36,64.0,64.0,56.0,22.0,-24.0,68.0,65.0,1
9,2017-08-27,West Coast,Adelaide,100,71,0,1.87,1.93,2017,29,64.0,64.0,29.0,-29.0,-57.0,56.0,31.0,1
10,2017-08-27,Richmond,St Kilda,122,81,0,1.5,2.56,2017,41,32.0,48.0,-67.0,-9.0,16.0,26.0,44.0,1
11,2017-08-27,Essendon,Fremantle,107,92,0,1.1,6.96,2017,15,12.0,16.0,-37.0,-79.0,-28.0,-53.0,4.0,1
12,2017-08-26,Port Adelaide,Gold Coast,135,20,0,1.05,10.47,2017,115,40.0,24.0,72.0,23.0,37.0,9.0,17.0,1
13,2017-08-26,Geelong,GWS Giants,103,59,0,2.21,1.66,2017,44,68.0,64.0,0.0,10.0,-13.0,27.0,7.0,1
14,2017-08-26,Sydney,Carlton,138,57,0,1.06,9.19,2017,81,68.0,28.0,-19.0,6.0,60.0,60.0,71.0,1
15,2017-08-26,Brisbane,North Melbourne,79,130,0,1.44,2.8,2017,-51,12.0,48.0,-34.0,-72.0,-82.0,4.0,-87.0,0
16,2017-08-26,Collingwood,Melbourne,99,83,0,3.1,1.37,2017,16,36.0,40.0,-4.0,-46.0,-35.0,-37.0,25.0,1
17,2017-08-25,Hawthorn,Western Bulldogs,99,90,0,1.89,1.91,2017,9,68.0,60.0,-23.0,3.0,70.0,62.0,19.0,1
18,2017-08-20,Fremantle,Richmond,51,155,0,3.98,1.24,2017,-104,16.0,32.0,2.0,-38.0,4.0,-27.0,20.0,0
19,2017-08-20,St Kilda,North Melbourne,127,78,0,1.32,3.33,2017,49,48.0,48.0,17.0,-23.0,-7.0,-37.0,-59.0,1
20,2017-08-20,Melbourne,Brisbane,104,91,0,1.11,6.44,2017,13,40.0,12.0,63.0,24.0,-23.0,-19.0,-28.0,1
21,2017-08-19,Carlton,Hawthorn,77,70,0,3.73,1.27,2017,7,28.0,68.0,-19.0,-57.0,-138.0,-28.0,-15.0,1
22,2017-08-19,Gold Coast,Essendon,57,90,0,3.13,1.36,2017,-33,24.0,12.0,-6.0,61.0,2.0,-19.0,-43.0,0
23,2017-08-19,GWS Giants,West Coast,81,60,0,1.19,4.74,2017,21,64.0,64.0,8.0,-1.0,-87.0,-111.0,-100.0,1
24,2017-08-19,Collingwood,Geelong,59,70,0,2.57,1.5,2017,-11,36.0,68.0,29.0,24.0,48.0,-41.0,-11.0,0
25,2017-08-19,Western Bulldogs,Port Adelaide,79,96,0,1.9,1.88,2017,-17,60.0,40.0,3.0,64.0,-38.0,-72.0,9.0,0
26,2017-08-18,Adelaide,Sydney,80,83,0,1.61,2.3,2017,-3,64.0,68.0,-36.0,10.0,-52.0,-63.0,-77.0,0
27,2017-08-13,Port Adelaide,Collingwood,98,71,0,1.35,3.16,2017,27,40.0,36.0,31.0,67.0,3.0,-6.0,24.0,1
28,2017-08-13,Hawthorn,North Melbourne,116,89,0,1.34,3.21,2017,27,68.0,48.0,39.0,9.0,60.0,-20.0,14.0,1
29,2017-08-13,Melbourne,St Kilda,96,72,0,1.57,2.43,2017,24,40.0,48.0,30.0,-36.0,-39.0,-37.0,-2.0,1
30,2017-08-12,West Coast,Carlton,100,83,0,1.12,6.21,2017,17,64.0,28.0,7.0,69.0,-3.0,-24.0,10.0,1
31,2017-08-12,Essendon,Adelaide,80,123,0,3.7,1.27,2017,-43,12.0,64.0,-65.0,-82.0,-112.0,9.0,35.0,0
32,2017-08-12,Brisbane,Gold Coast,142,84,0,1.46,2.69,2017,58,12.0,24.0,2.0,-26.0,13.0,-14.0,-64.0,1
33,2017-08-12,Geelong,Richmond,80,66,0,2.25,1.64,2017,14,68.0,32.0,4.0,9.0,5.0,44.0,10.0,1
34,2017-08-12,Sydney,Fremantle,143,39,0,1.05,9.58,2017,104,68.0,16.0,90.0,-9.0,-14.0,24.0,17.0,1
35,2017-08-11,Western Bulldogs,GWS Giants,57,105,0,2.2,1.66,2017,-48,60.0,64.0,-2.0,6.0,-25.0,45.0,-6.0,0
36,2017-08-06,Adelaide,Port Adelaide,130,46,0,1.51,2.54,2017,84,64.0,40.0,17.0,15.0,58.0,3.0,-24.0,1
37,2017-08-06,Richmond,Hawthorn,93,64,0,1.69,2.16,2017,29,32.0,68.0,-70.0,-46.0,18.0,-66.0,41.0,1
38,2017-08-06,St Kilda,West Coast,103,95,0,1.71,2.13,2017,8,48.0,64.0,-19.0,-103.0,-95.0,-53.0,-33.0,1
39,2017-08-05,Fremantle,Gold Coast,90,67,0,1.54,2.47,2017,23,16.0,24.0,-24.0,-26.0,7.0,48.0,45.0,1
40,2017-08-05,North Melbourne,Collingwood,57,111,0,2.81,1.43,2017,-54,48.0,36.0,40.0,-17.0,-35.0,11.0,-16.0,0
41,2017-08-05,Brisbane,Western Bulldogs,89,103,0,4.1,1.23,2017,-14,12.0,60.0,-32.0,-53.0,8.0,-72.0,8.0,0
42,2017-08-05,Essendon,Carlton,84,76,0,1.22,4.25,2017,8,12.0,28.0,-15.0,24.0,-15.0,21.0,0.0,1
43,2017-08-05,GWS Giants,Melbourne,97,62,0,1.66,2.21,2017,35,64.0,40.0,-2.0,-26.0,45.0,64.0,32.0,1
44,2017-08-04,Geelong,Sydney,61,107,0,2.27,1.63,2017,-46,68.0,68.0,-37.0,-38.0,32.0,-43.0,-110.0,0
45,2017-07-30,West Coast,Brisbane,113,45,0,1.07,8.25,2017,68,64.0,12.0,49.0,64.0,53.0,12.0,26.0,1
46,2017-07-30,Collingwood,Adelaide,103,103,0,2.59,1.5,2017,0,36.0,64.0,-28.0,-27.0,-16.0,-21.0,27.0,0
47,2017-07-30,Western Bulldogs,Essendon,127,97,0,2.14,1.7,2017,30,60.0,12.0,40.0,87.0,-7.0,-8.0,-31.0,1
48,2017-07-29,Carlton,Geelong,58,123,0,3.71,1.27,2017,-65,28.0,68.0,19.0,-77.0,-6.0,-5.0,-16.0,0
49,2017-07-29,Gold Coast,Richmond,65,98,0,2.83,1.42,2017,-33,24.0,32.0,-17.0,-83.0,18.0,-9.0,2.0,0
50,2017-07-29,Port Adelaide,St Kilda,63,61,0,1.16,5.15,2017,2,40.0,48.0,33.0,63.0,70.0,5.0,4.0,1
51,2017-07-29,GWS Giants,Fremantle,98,86,0,1.09,7.23,2017,12,64.0,16.0,92.0,18.0,-21.0,-76.0,-113.0,1
52,2017-07-29,North Melbourne,Melbourne,76,72,0,3.07,1.37,2017,4,48.0,40.0,14.0,5.0,35.0,30.0,41.0,1
53,2017-07-28,Hawthorn,Sydney,72,66,0,2.73,1.45,2017,6,68.0,68.0,6.0,5.0,-14.0,89.0,-4.0,1
54,2017-07-23,Brisbane,Carlton,112,82,0,1.97,1.81,2017,30,12.0,28.0,4.0,-38.0,64.0,9.0,7.0,1
55,2017-07-23,Collingwood,West Coast,93,85,0,1.87,1.92,2017,8,36.0,64.0,19.0,-62.0,-31.0,-60.0,8.0,1
56,2017-07-23,Richmond,GWS Giants,64,45,0,2.24,1.64,2017,19,32.0,64.0,-3.0,-88.0,9.0,27.0,113.0,1
57,2017-07-22,Fremantle,Hawthorn,48,100,0,2.09,1.73,2017,-52,16.0,68.0,-41.0,-27.0,-72.0,19.0,-58.0,0
58,2017-07-22,Sydney,St Kilda,101,59,0,1.21,4.36,2017,42,68.0,48.0,50.0,70.0,97.0,71.0,59.0,1
59,2017-07-22,Western Bulldogs,Gold Coast,110,56,0,1.27,3.68,2017,54,60.0,24.0,48.0,22.0,28.0,-45.0,-32.0,1
60,2017-07-22,Melbourne,Port Adelaide,88,65,0,2.22,1.65,2017,23,40.0,40.0,40.0,-45.0,-61.0,-3.0,-20.0,1
61,2017-07-22,Essendon,North Melbourne,132,105,0,1.19,4.78,2017,27,12.0,48.0,-14.0,-25.0,-11.0,-12.0,39.0,1
62,2017-07-21,Adelaide,Geelong,91,70,0,1.52,2.53,2017,21,64.0,68.0,-22.0,-30.0,-26.0,-39.0,-38.0,1
63,2017-07-16,Fremantle,West Coast,44,74,0,3.21,1.35,2017,-30,16.0,64.0,-41.0,-46.0,-33.0,-24.0,30.0,0
64,2017-07-16,Carlton,Western Bulldogs,62,82,0,2.38,1.57,2017,-20,28.0,60.0,-36.0,-11.0,28.0,-28.0,18.0,0
65,2017-07-16,Richmond,Brisbane,112,81,0,1.14,5.46,2017,31,32.0,12.0,52.0,42.0,79.0,25.0,43.0,1
66,2017-07-15,Melbourne,Adelaide,70,116,0,3.29,1.33,2017,-46,40.0,64.0,41.0,-22.0,-25.0,3.0,-68.0,0
67,2017-07-15,GWS Giants,Sydney,83,96,0,2.09,1.73,2017,-13,64.0,68.0,42.0,36.0,42.0,-25.0,-89.0,0
68,2017-07-15,Gold Coast,Collingwood,88,103,0,1.79,2.0,2017,-15,24.0,36.0,-71.0,-69.0,5.0,7.0,-97.0,0
69,2017-07-15,Port Adelaide,North Melbourne,127,57,0,1.12,6.19,2017,70,40.0,48.0,28.0,8.0,-7.0,-10.0,2.0,1
70,2017-07-15,Geelong,Hawthorn,88,85,0,1.36,3.13,2017,3,68.0,68.0,86.0,2.0,30.0,-36.0,-62.0,1
71,2017-07-14,St Kilda,Essendon,57,118,0,1.78,2.02,2017,-61,48.0,12.0,11.0,46.0,110.0,-2.0,16.0,0
72,2017-07-09,West Coast,Port Adelaide,88,120,0,1.79,2.02,2017,-32,64.0,40.0,10.0,8.0,10.0,-14.0,-5.0,0
73,2017-07-09,Carlton,Melbourne,82,90,0,2.57,1.5,2017,-8,28.0,40.0,-22.0,20.0,23.0,-23.0,61.0,0
74,2017-07-09,North Melbourne,Fremantle,82,86,0,1.41,2.9,2017,-4,48.0,16.0,-5.0,31.0,11.0,-73.0,13.0,0
75,2017-07-08,Brisbane,Geelong,78,163,0,4.11,1.23,2017,-85,12.0,68.0,-60.0,-69.0,-56.0,-62.0,-25.0,0
76,2017-07-08,St Kilda,Richmond,138,71,0,2.28,1.62,2017,67,48.0,32.0,9.0,-16.0,-26.0,-44.0,-64.0,1
77,2017-07-08,Sydney,Gold Coast,118,51,0,1.13,5.81,2017,67,68.0,24.0,38.0,63.0,52.0,35.0,41.0,1
78,2017-07-08,Collingwood,Essendon,80,117,0,1.81,1.97,2017,-37,36.0,12.0,-18.0,69.0,-3.0,20.0,-64.0,0
79,2017-07-08,Hawthorn,GWS Giants,97,97,0,2.57,1.5,2017,0,68.0,64.0,-75.0,-10.0,7.0,83.0,162.0,0
