,mid,premiership,att,win_loc,season,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,home_team,away_team,home_odds,away_odds,date
0,2009_R12_105_111,0,42087,1,2009,32,12,16.0,2.0,-36.0,-10.0,-46.0,Essendon,Melbourne,1.24,3.93,2009-06-19
1,2009_R12_104_116,0,41042,0,2009,50,48,-45.0,-29.0,-38.0,-25.0,-19.0,Sydney,Collingwood,1.93,1.75,2009-06-20
2,2009_R12_106_107,0,33213,0,2009,24,84,-74.0,-1.0,-68.0,-25.0,-66.0,Fremantle,Geelong,7.25,1.08,2009-06-21
3,2009_R13_103_105,0,83407,1,2009,32,40,4.0,35.0,16.0,10.0,-3.0,Essendon,Carlton,2.55,1.48,2009-06-26
4,2009_R13_104_106,0,44114,1,2009,48,24,-24.0,26.0,9.0,-15.0,-13.0,Collingwood,Fremantle,1.12,5.94,2009-06-27
5,2009_R13_101_116,0,38064,1,2009,52,50,24.0,17.0,39.0,7.0,41.0,Adelaide,Sydney,1.25,3.75,2009-06-27
6,2009_R13_110_117,0,31441,1,2009,16,68,-18.0,-71.0,-57.0,-35.0,10.0,West Coast,Hawthorn,2.77,1.42,2009-06-27
7,2009_R13_107_113,0,21142,1,2009,84,28,59.0,9.0,119.0,-5.0,56.0,Geelong,Port Adelaide,1.05,8.63,2009-06-28
8,2009_R13_112_118,0,31470,0,2009,50,62,-15.0,20.0,3.0,64.0,26.0,North Melbourne,Western Bulldogs,5.03,1.16,2009-06-28
9,2009_R13_114_115,0,38196,1,2009,52,46,3.0,10.0,17.0,103.0,11.0,St Kilda,Richmond,1.07,7.63,2009-06-28
10,2009_R14_104_105,0,77699,1,2009,48,32,-5.0,-48.0,73.0,29.0,16.0,Collingwood,Essendon,1.5,2.5,2009-07-03
11,2009_R14_111_117,0,23149,1,2009,12,16,-8.0,34.0,-77.0,-22.0,-15.0,Melbourne,West Coast,1.96,1.75,2009-07-04
12,2009_R14_101_114,0,11174,0,2009,46,52,-63.0,-50.0,-9.0,3.0,-70.0,Richmond,Adelaide,3.78,1.25,2009-07-04
13,2009_R14_110_118,0,36827,1,2009,62,68,-51.0,32.0,-84.0,17.0,21.0,Western Bulldogs,Hawthorn,1.4,2.8,2009-07-04
14,2009_R14_112_116,0,21929,1,2009,50,50,35.0,0.0,-16.0,7.0,37.0,Sydney,North Melbourne,1.31,3.32,2009-07-05
15,2009_R14_103_106,0,34720,0,2009,24,40,7.0,-9.0,77.0,18.0,15.0,Fremantle,Carlton,2.28,1.57,2009-07-05
16,2009_R14_107_115,0,54444,1,2009,52,84,-58.0,-42.0,-60.0,23.0,-18.0,St Kilda,Geelong,2.3,1.56,2009-07-05
17,2009_R15_104_118,0,51382,0,2009,62,48,10.0,33.0,41.0,-34.0,41.0,Western Bulldogs,Collingwood,1.56,2.34,2009-07-10
18,2009_R15_105_116,0,30924,0,2009,50,32,91.0,-1.0,43.0,-27.0,20.0,Sydney,Essendon,1.66,2.14,2009-07-11
19,2009_R15_103_114,0,50784,1,2009,40,46,83.0,30.0,-30.0,17.0,-45.0,Carlton,Richmond,1.25,3.76,2009-07-11
20,2009_R15_101_106,0,32451,1,2009,52,24,24.0,17.0,-25.0,-1.0,30.0,Adelaide,Fremantle,1.14,5.44,2009-07-11
