,home_team,away_team,win_loc,home_odds,away_odds,h_prob_us,a_prob_us,bet_on,bet_perc,bet_size,bank,new_bank,earn_loss,year
0,Collingwood,Fremantle,0.0,2.31,1.6,0.47,0.53,0.0,0.05,4.8,100.0,106.29,6.29,2014
1,Gold Coast,Richmond,1.0,2.66,1.47,0.3,0.7,0.0,0.01,0.85,106.29,105.44,-0.85,2014
2,Carlton,Port Adelaide,0.0,1.62,2.24,0.41,0.59,0.0,0.01,1.05,105.44,106.09,0.65,2014
3,Richmond,Carlton,1.0,1.53,2.47,0.24,0.76,0.0,0.05,5.52,106.09,100.57,-5.52,2014
4,Essendon,Hawthorn,0.0,2.67,1.46,0.31,0.69,0.0,0.01,1.01,100.57,102.26,1.69,2014
5,Sydney,Collingwood,0.0,1.43,2.81,0.45,0.55,0.0,0.01,1.43,102.26,102.87,0.61,2014
6,Melbourne,West Coast,0.0,8.29,1.08,0.1,0.9,0.0,0.0,0.21,102.87,104.4,1.53,2014
7,Western Bulldogs,North Melbourne,0.0,3.21,1.35,0.43,0.57,0.0,0.05,5.22,104.4,115.94,11.54,2014
8,Hawthorn,Fremantle,1.0,1.65,2.19,0.49,0.51,0.0,0.04,4.17,115.94,111.77,-4.17,2014
9,Adelaide,Sydney,0.0,1.99,1.78,0.37,0.63,0.0,0.01,1.12,111.77,112.88,1.11,2014
10,Western Bulldogs,Richmond,1.0,2.99,1.39,0.41,0.59,0.0,0.04,4.74,112.88,108.14,-4.74,2014
11,North Melbourne,Port Adelaide,1.0,2.07,1.74,0.43,0.57,0.0,0.03,3.24,108.14,104.9,-3.24,2014
12,Essendon,Carlton,1.0,1.43,2.81,0.44,0.56,0.0,0.01,1.05,104.9,103.85,-1.05,2014
13,Richmond,Collingwood,0.0,2.63,1.48,0.2,0.8,0.0,0.02,2.08,103.85,107.24,3.39,2014
14,Gold Coast,Hawthorn,0.0,4.38,1.21,0.21,0.79,0.0,0.01,0.64,107.24,109.4,2.16,2014
15,Fremantle,Essendon,1.0,1.86,1.92,0.47,0.53,0.0,0.04,4.16,109.4,105.24,-4.16,2014
16,Sydney,Fremantle,1.0,2.4,1.56,0.35,0.65,0.0,0.02,1.68,105.24,103.56,-1.68,2014
17,Melbourne,Gold Coast,0.0,3.09,1.37,0.34,0.66,0.0,0.03,2.69,103.56,109.18,5.62,2014
18,Western Bulldogs,Carlton,0.0,1.77,2.02,0.35,0.65,0.0,0.0,0.44,109.18,109.52,0.34,2014
19,Carlton,West Coast,1.0,2.03,1.76,0.44,0.56,0.0,0.03,3.5,109.52,106.02,-3.5,2014
20,Melbourne,Sydney,0.0,7.09,1.09,0.04,0.96,0.0,0.02,2.12,106.02,118.93,12.91,2014
21,Richmond,Hawthorn,0.0,5.04,1.17,0.11,0.89,0.0,0.01,1.67,118.93,125.68,6.75,2014
